Información relacionada a:,Gratificaciones, monto bruto y neto, tipo de moneda y su periodicidad
ID,FECHA CREACION, FECHA MODIFICACION,"DENOMINACIÓN DE LAS GRATIFICACIONES","MONTO BRUTO DE LAS GRATIFICACIONES","MONTO NETO DE LAS GRATIFICACIONES","TIPO DE MONEDA DE LAS GRATIFICACIONES","PERIODICIDAD DE LAS GRATIFICACIONES"
198455615,"11/08/22","11/08/22","AGUINALDO","5231.64","5231.64","PESOS MEXICANOS","ANUAL"
198446841,"11/08/22","11/08/22","AGUINALDO","13406.01","13406.01","PESOS MEXICANOS","ANUAL"
198447349,"11/08/22","11/08/22","AGUINALDO","6480.61","6480.61","PESOS MEXICANOS","ANUAL"
198448820,"11/08/22","11/08/22","AGUINALDO","4936.81","4936.81","PESOS MEXICANOS","ANUAL"
198448444,"11/08/22","11/08/22","AGUINALDO","7340.89","7340.89","PESOS MEXICANOS","ANUAL"
198446825,"11/08/22","11/08/22","AGUINALDO","7143.89","7143.89","PESOS MEXICANOS","ANUAL"
198449461,"11/08/22","11/08/22","AGUINALDO","10043.98","10043.98","PESOS MEXICANOS","ANUAL"
198448469,"11/08/22","11/08/22","AGUINALDO","3135.33","3135.33","PESOS MEXICANOS","ANUAL"
198450900,"11/08/22","11/08/22","AGUINALDO","2981.55","2981.55","PESOS MEXICANOS","ANUAL"
198450899,"11/08/22","11/08/22","AGUINALDO","234.92","234.92","PESOS MEXICANOS","ANUAL"
198448941,"11/08/22","11/08/22","AGUINALDO","10405.74","10405.74","PESOS MEXICANOS","ANUAL"
198447128,"11/08/22","11/08/22","AGUINALDO","13162.23","13162.23","PESOS MEXICANOS","ANUAL"
198447127,"11/08/22","11/08/22","AGUINALDO","3656.21","3656.21","PESOS MEXICANOS","ANUAL"
198453465,"11/08/22","11/08/22","AGUINALDO","4188.13","4188.13","PESOS MEXICANOS","ANUAL"
198454027,"11/08/22","11/08/22","AGUINALDO","4456.66","4456.66","PESOS MEXICANOS","ANUAL"
198459944,"11/08/22","11/08/22","AGUINALDO","9849.02","9849.02","PESOS MEXICANOS","ANUAL"
198455867,"11/08/22","11/08/22","AGUINALDO","14417.65","14417.65","PESOS MEXICANOS","ANUAL"
198483811,"11/08/22","11/08/22","AGUINALDO","1601.05","1601.05","PESOS MEXICANOS","ANUAL"
198475359,"11/08/22","11/08/22","AGUINALDO","6713.23","6713.23","PESOS MEXICANOS","ANUAL"
198475428,"11/08/22","11/08/22","AGUINALDO","844.73","844.73","PESOS MEXICANOS","ANUAL"
198480157,"11/08/22","11/08/22","AGUINALDO","14315.3","14315.3","PESOS MEXICANOS","ANUAL"
198475462,"11/08/22","11/08/22","AGUINALDO","1118.87","1118.87","PESOS MEXICANOS","ANUAL"
198471805,"11/08/22","11/08/22","AGUINALDO","3000.07","3000.07","PESOS MEXICANOS","ANUAL"
198471125,"11/08/22","11/08/22","AGUINALDO","5485.33","5485.33","PESOS MEXICANOS","ANUAL"
198470247,"11/08/22","11/08/22","AGUINALDO","6259.47","6259.47","PESOS MEXICANOS","ANUAL"
198469919,"11/08/22","11/08/22","AGUINALDO","9446.26","9446.26","PESOS MEXICANOS","ANUAL"
198470393,"11/08/22","11/08/22","AGUINALDO","2597.4","2597.4","PESOS MEXICANOS","ANUAL"
198470101,"11/08/22","11/08/22","AGUINALDO","1044.65","1044.65","PESOS MEXICANOS","ANUAL"
198462018,"11/08/22","11/08/22","AGUINALDO","1005.13","1005.13","PESOS MEXICANOS","ANUAL"
198462353,"11/08/22","11/08/22","AGUINALDO","8928.95","8928.95","PESOS MEXICANOS","ANUAL"
198463749,"11/08/22","11/08/22","AGUINALDO","3807.09","3807.09","PESOS MEXICANOS","ANUAL"
198462253,"11/08/22","11/08/22","AGUINALDO","3352.99","3352.99","PESOS MEXICANOS","ANUAL"
198462254,"11/08/22","11/08/22","AGUINALDO","6860.97","6860.97","PESOS MEXICANOS","ANUAL"
198462324,"11/08/22","11/08/22","AGUINALDO","58.03","58.03","PESOS MEXICANOS","ANUAL"
198462635,"11/08/22","11/08/22","AGUINALDO","4290.81","4290.81","PESOS MEXICANOS","ANUAL"
198461972,"11/08/22","11/08/22","AGUINALDO","3273.06","3273.06","PESOS MEXICANOS","ANUAL"
198461989,"11/08/22","11/08/22","AGUINALDO","3273.06","3273.06","PESOS MEXICANOS","ANUAL"
198448519,"11/08/22","11/08/22","AGUINALDO","10013.62","10013.62","PESOS MEXICANOS","ANUAL"

